P41338 Q9UQW6
P07703 O94616
P22214 Q9Y7L0
P38810 Q9USS7
P13517 Q9HGP5
P17157 O74456
P24384 O42643
P32600 Q9Y7K2
Q06010 O14077
P39990 O74690
Q05636 O74918
P25635 Q9C1X1
P13188 Q9Y7Y8
P39706 O42858
P43593 Q92353
P38077 O74754
P32563 O13742
P06777 P36617
Q00873 O13962
P21734 O74810
P16474 P36604
Q12009 Q96WV1
P53829 Q92368
P47037 O42649
P40055 Q9P4X3
P49018 Q9USP5
Q12267 P41004
Q00776 Q9HFE5
P52488 O42939
Q06624 P79064
P28241 Q9USP8
P15180 Q9UUE6
P32829 Q09683
P47016 O94660
P15624 O42849
P33204 Q92352
Q05933 Q9Y7J4
P32381 Q9UUJ1
Q12176 O36021
P38999 O59711
Q08096 Q09870
P38179 Q9Y7I4
P43588 P41878
Q12520 Q8WZJ9
P47064 Q09905
P47154 Q10071
P38132 O75001
P35999 Q10415
P53128 Q10258
P39077 O74341
P08067 Q09154
Q05791 Q9P7N5
P39524 O94296
P38011 Q10281
Q03919 O14399
P18759 Q9P7Q4
P22696 O74448
P21951 P87154
P27999 O74635
P53043 O43049
P06782 O74536
P07806-1 O75005
P32908 O94383
Q06287 Q10107
P39515 P87130
Q01852 O60084
P15303 O74873
P46970 O59809
Q12460 O94514
P38862 O43069
P53942 Q10236
P38328 P78774
P25045 O59682
P11075 Q9P7V5
P42943 P87153
P39078 P50999
P39076 Q10147
P38989 P41003
P33334 O14187
Q05946 Q9USN3
P32910 O94553
P33298 O74894
P07284 O14018
P53930 Q10319
P39923 O42857
P36015 O60073
P08425 O74952
P47079 P78921
Q12464 O94692
P50107 Q09751
P22855 Q9UT61
P15019 O42700
P32861 P78811
P38748 O13747
Q12220 P87177
P15705 Q9USI5
P54837 O13946
P53327 O60072
P38174 O60085
P32875 O13642
P00163 P05501
P00401 P07657
P00410 P21534
P28834 O13696
P32353 O94457
P38129 O13282
P40544 Q9UT11
P45818 Q09775
P52492 O00103
P25586 O74777
P04051 O94666
P21304 Q9P775
P25453 O42634
P25694 Q9P3A7
P32558 O94267
P38197 Q9P6Q1
Q12483 O94663
P20449 Q09747
P38932 Q09805
P47122 O42906
P50085 O94550
P10962 Q9UTE6
Q05359 O14324
P38170 Q9Y7R3
P09436 O13651
P38066 Q9P7M9
P38206 O94302
P32316 Q9UUJ9
P32784 Q9P7P0
P32356 O42893
P18900 O43091
P00817 P19117
Q04895 O14035
P38219 O13998
P38071 Q10488
P38075 Q9UTQ1
P38238 O36015
P16661 O13933
Q01976-1 Q9P791
P07702 P40976
Q00764 P40387
P38288 Q9P7X4
P33755 Q9P780
P33754 Q9UUA4
P27810 O60160
P15807 O14172
P32327 Q9UUE1
P38138 Q9US55
P38329 O60146
P33734 O94303
P38334 Q9USZ5
P38145 Q9Y7P0
P38340 O13748
P25374 O74351
P25578 Q9HDW1
P25560 Q10358
P25343 Q9UUM7
P25618 Q9HDZ2
P23060 Q09839
P25332 O60116
P25625 Q9P6N9
P25627 Q10162
P16120 Q42598
P25637 O13997
P25382 O74855
Q07748 P36597
P19881 Q00472
P35197 O94601
Q07648 O14274
P33327 Q9USN5
P32495 Q9P7H0
Q12315 O94652
P38988 O74439
Q12063 Q9Y7K8
Q12122 Q9Y823
P46681 Q9C1X2
Q12680 Q9C102
Q12055 Q9UU88
Q07534 Q9P6N6
P40215 O14121
Q12690 O74175
P50623 P40984
Q07381 O13956
P41940 O74484
Q12408 Q9C0X9
Q12093 O13947
Q12389 Q09719
P41911 P21696
Q00055 Q09845
Q03441 O74446
Q12099 Q10055
P28817 O74802
Q04307 O13896
P31688 P78875
P15565-1 Q9P804
P08566 Q9P7R0
P13663 P78780
P22213 O74534
Q03941 O74414
P12612 O94501
P49367 Q9UT74
P36519 O14337
P41810 Q9UUF7
Q03786 Q10242
P33416 O74402
P04803 O42875
P32264 O13810
Q06640 O14235
P38789 O14206
P0CX79 P87015
Q05498 O13610
Q05506 O74781
Q05515 Q09885
P29509 Q92375
P07285 O60122
Q06389 Q09711
Q04149 P87231
P47165 O13917
P32584 P87014
Q03730 O94654
Q03305 Q10170
Q03337 Q9P7N9
Q03390 O74422
Q99258 O60181
P09232 P40903
P32317 O42895
P32610 O59823
P21375 O13755
P39986 O14072
P39994 Q9Y7M1
P40004 O74750
P40005 Q9UTC9
P89886 P87313
P08456 O94584
P10869 O60163
P00498 P40373
P39525 O94297
P40051 Q10439
P00927 O94634
P39965 O74765
P05694 Q9UT19
P40069 O60100
P40078 Q9UU79
P40086 Q10361
P40088 Q09919
P40093 Q9P7T6
P21269-1 Q9Y7U9
P32639 Q9UT24
P46655 O13775
P53070 O13670
P53081 O94404
P33892 Q10105
P22147 P40383
P28777 O74413
P30775 Q09691
P53145 Q10190
P53010 Q09798
P43636 Q96WW6
Q12211 O94396
P53184 Q9USS0
P25340 P36209
P07264 O14289
P53199 O43050
P53206 P87131
P53215 Q9Y7T3
P28737 Q9P7J5
P53219 O94437
P53235 O74965
P53252 O74960
P53257 O94370
P53258 O43048
P53261 O60164
P53273 Q09764
P32318 P40998
P48234 O74879
P36156 O94524
P05374 O74787
P22438 O14000
P46948 O42872
P42935 O94533
P42938 Q9UUH3
P42942 O94362
P50076 Q10254
P39676 Q9URY5
P53318 Q9Y7Z9
P53320 Q9P7X9
P53323 Q9P7N1
P53337 O74559
P38705 Q9UTB2
P38708 O60155
P11914 O94745
P17423 O43056
P07275 O74766
P38694 Q9P7K9
P38787 Q9HDU6
P38712 Q9P6N8
P38792 Q09704
P38793 Q8TFG7
P38795 O74940
P38796 Q9P7D2
P38797 Q09189
P38798 O13824
P32468 P48009
P38820 Q09810
P38821 O36014
P25846 O13921
P38829 Q9UTL0
P32899 O13835
P38861 Q09817
P38880 Q10070
Q12461 Q9P7H4
P40459 Q09673
P40464 O13660
Q00245 O13928
P40483 Q9US12
P08019 O60087
P40498 O74974
P53966 O94565
P40506 Q9USK7
P40516 Q9P7Z3
P38626 O74557
P40545 Q10184
P25335 Q09913
P32459 O13843
P38998 Q09694
P40892 Q09707
P34110 O74552
P46959 O14307
P39677 O94429
P09880 Q10313
P47047 O14232
P47075 P78810
P47085 Q10212
P47089 O42929
P39522 Q10318
P47095 Q9HE08
P00572 P36590
P40413 Q9UTM4
P40348 Q09843
P47120 Q9P6K9
P05375 O74827
P47164 O74314
P31116 O94671
P47173 P41888
P32368 O60162
P07236 O13969
P07149 Q9UUG0
P35996 O94292
P36051 Q8WZK2
P36059 O94347
P35718 O94285
Q12676 Q9UTD0
P34253 Q9P7V4
P34247 Q10106
P14540 P36580
P32860 Q9UUB8
P33201 Q9USZ6
P36107 Q10142
P36108 O14177
P54861 Q09748
P36120 O60173
P36125 P87155
P36132 O94637
P36149 Q9P6P5
P36150 O74468
P36160 Q9UUG1
Q12177 Q9Y7K4
Q07825 Q09795
P31539 O94641
P33750 O74340
P41800 O74368
Q07923 Q9USJ6
Q07953 O14179
P32849 P36607
P38915 O60097
P54964 O94626
P25039 Q9USZ1
Q12509 O94241
P32469 O74898
P33311 Q9Y7M7
Q05779 O13850
P32335 Q9UTB4
Q04491 O94319
Q06543 O14443
Q01662 O59730
Q06567 O60111
Q06156 O94679
Q06218 O60080
Q06224 O13794
P46943 O13869
Q05892 O74482
P32502 Q9UT76
P06106 O13326
P05317 O74864
P49954 Q10166
P11325 Q09828
Q06708 P87145
Q06053 Q9UTH9
Q06063 O74553
Q06078 O14053
P20051 Q9UTI0
P41733 O13883
P49017 P87230
Q04489 O74397
P54783 Q9HDX8
Q04651 O94283
P38987 P87027
Q03697 Q10354
P12887 O74834
Q02159 O00102
P32559 Q9UTE7
P46972 Q9UST2
Q04660 O74399
Q04728 O94346
Q04767 O74375
P32832 O94522
P46680 O14301
Q04305 O94365
Q03144 Q9UTE4
Q03148 O14027
P39685 O94385
Q04225 Q9P783
Q03799 O74956
Q03829 Q76PC3
Q03691 O14103
P24521 Q9UT88
Q05029 P87317
P20107 O13918
P38430 P41890
Q03262 O74478
P23796 Q10181
Q03532 Q09916
Q03557 O94509
P32843 O94689
P40988 Q9HFE1
P42837 Q7Z9H9
P42840 P54069
P38629 O14003
P53538 O42868
P53868 Q9P7Q9
P40157 Q1MTR3
P40160 Q9P7W5
P08004 P30597
P53875 Q9UTK2
P53889 Q9P7L4
P53905 O74499
P53914 P87115
P53925 O13912
P24783 P24782
P13382 P28040
P53934 Q9Y7J3
P12695 O59816
P53946 Q9Y7X8
Q10740 O94544
P53972 O14039
P53981 Q9P6N2
P41318 O74184
P38921 Q10442
P53729 O74310
P53732 O14182
P53742 O14236
Q08285 O13903
Q12016 O43073
Q12383 Q9UTH1
Q12463 O94636
Q12496 Q10068
P40339 O94449
Q12400 O14214
P32179 O94505
P22768 O94354
P48525 Q9HDX9
Q08162 P37202
Q12001 O43053
Q02792 P40848
P40351 Q10479
P48439 Q8TFH3
Q12189 Q9UTL3
P01120 P08647
Q12196 O42650
P41735 O74826
P21264 P15567
Q99216 O14044
Q99312 O14349
Q99287 Q9UTE0
Q08548 O42916
P33330 Q10349
P06633 P40374
P39744 Q9P7G0
P22276 Q10233
P32266 P87320
Q99297 Q9P3T7
Q03020 Q9UTC6
P38523 O43047
Q08645 O74742
Q08647 O74343
Q08702 O74859
Q08726 Q9UTL7
P07884-1 Q9UT75
Q12017 Q9Y7L1
P07258 O60060
Q12499 Q9P7S7
Q12382 P87170
P10964 P15398
P15380 Q9URZ3
Q08902 Q9P6J7
Q08910 Q9P7U4
P41819 Q9USU2
P53388 O74543
Q08977 Q9P6K3
P19097 Q10289
P40350 O60061
Q08972 O14134
Q08965 O94653
P41835 P40386
Q08960 O59761
P26637 Q10490
Q02939 P87303
P15179 O94242
P48527 O74890
Q02892 O94659
P41930 P0CT97
Q02908 O14023
P39107 O36022
P48526 Q9USL3
P46151 O74927
P00890 Q10306
P22138 Q9P7X8
Q12522 O94476
Q12181 O94613
P32178 O13739
Q06819 P87215
Q06835 Q9UTB8
Q06106 O13620
Q06489 O60185
Q06504 O74457
P18408 Q10270
P39007 O94335
P53040 O74462
P40558 Q9UT57
Q12449 Q9P782
P24280 Q10137
P18961 Q9P7J8
P15938 Q9P774
P15367 O74323
P32611 Q9Y7P4
P53859 O59821
P53600 O74891
Q06696 O43038
P53157 O74847
P53197 O13286
Q08971 O59727
P27680 O74421
P38205 O13935
P38127 Q9P6L7
P40484 O94360
P43616 Q9P6I2
Q12024 Q9URY0
Q02890 O74739
Q08235 Q9HGL6
P36039 Q9P787
Q12118 O13797
P40151 O13984
P33296 O42646
Q12386 Q9US07
P31115 Q9UTB3
P27697 Q92338
P53893 O74945
P04801 P87144
P46969 O14105
P36163 Q9P7G4
P25808 O74764
P38254 Q10438
P47169 Q1K9C2
P43558 O13974
P38635 O14059
P39692 Q09878
P43591 Q9UTC5
P53088 O94282
P13045 Q9HDU2
Q12325 Q9URY8
P48236 O94673
P43556 Q09697
P00815 Q9P777
Q12029 O13793
Q01217 P31318
Q08282 O60157
P38962 Q9Y7K7
P54781 O13820
P09938 P36603
P38912 P55877
P37020 O60159
P38910 O59804
Q03330 Q9UUK2
P43549 Q9P7T9
P34760 O74887
P25491 O74752
P21954 O14254
P38074 Q9URX7
P38278 Q9UUH2
P38314 Q09826
P38137 O74976
P00560 O60101
Q12046 P87126
Q12136 Q1MTS0
P41920 Q09717
P40970 Q09925
P39081 Q10237
P50108 P78817
Q05549 O13983
P49775 P49776
Q06668 O43033
P40107 Q9UTK8
P22434 P36599
P53095 Q9US35
P53322 Q10097
P38702 O13805
P32361 O94537
P40496 O42911
P40527 Q10309
P23501 Q9P6N5
P47148 O74758
P22515 O94609
P69771 O60074
P36147 O94539
Q99271 O14123
Q06554 Q9UTL9
P06168 P78827
P23202 O59827
P53878 O13822
P28000 Q09177
P13134 Q09175
P36007 O59791
P43535 O59672
Q06385 O14205
P53141 Q09196
Q12697 O74431
P22219 O42900
P53848 Q4LB35
P18562 O13867
P40897 O14031
P46985 O13640
P38351 Q9US06
P40533 O42841
P53688 Q9UR39
P12683 Q10283
Q00955 P78820
P33313 O13754
P53691 Q11004
P31334 Q9P6P6
P0CX85 O74904
P38297 Q9USY7
P29366 P40996
Q12154 Q9P7F8
P39743 O74352
Q04119 Q9C1W8
Q03280 O13834
P11491 O60109
P53073 O94520
P53154 Q09758
P20447 Q10202
P42941 O74382
P53306 O14357
P53331 O94443
P32527 Q9Y7I8
P32857 O13989
P33413 O94469
P36101 O13861
P32793 Q9URW6
P40486 O43076
P42946 O14267
P22353 O94345
P47104 Q9Y817
Q12164 Q9Y7Z5
P32485 Q09892
Q05874 Q9UT28
Q06705 Q10138
Q06697 Q9UUE7
P51998 O74801
P26448 P36618
P32567 Q9UUJ6
Q03254 Q9P376
P48567 O59721
P39104 Q10366
P53860 Q9UU99
P53633 Q9UUN5
P53615 O94255
P53973 P56523
Q08278 O60104
Q12204 P87109
Q08444 Q9UTK0
Q12234 O42903
Q08686 Q9USJ1
P46669 O43036
Q08954 Q9UTP4
P35189 O94436
P21825 O13787
P32333 O43065
Q02784 Q9HDW8
Q02648 O74516
P0CX46 P0CT72
P15700 O59771
P42951 Q9UT42
P35196 O14171
P40560 Q10225
P43569 Q7Z991
P43571 Q9UT41
P51862 Q9Y7U6
Q05497 Q9USK3
P33753 Q09833
Q05471 O13682
P39678 P41412
P40061 Q09743
P53112 O60065
P22135 Q9UT16
Q08826 O94291
P01123 P11620
P35191 P87239
P32454 Q9USX1
Q99190 O94511
P32579 O94530
P06773 O43012
Q99210 O14141
Q12511 O14189
P43548 O59831
P53909 Q9P6I7
P47040 Q9US09
P34163 O74430
Q3E757 P0CT78
P05749 Q09668
P38604 Q10231
P38701 O74893
P39939 Q9UT56
P18239 Q09188
P32621 Q9UT35
P26309 P78972
P43639 O94281
P32807 O94395
P39958 Q10305
Q12165 Q9P6R6
P32288 Q09179
P00549 Q10208
P32496 P50524
P32628 O74803
P26754 Q92373
P54780 O74895
P25443 O74892
P05759 P0C8R3
Q12330 Q9USZ3
P04840 Q9P544
Q03940 Q9C0X6
P39012 Q9US48
P23594 P23636
P38555 P17610
P11412 O00091
P39926 Q9USH7
P52917 Q09803
P32901 Q9P380
P53063 O13836
P19358 O60198
Q99257 Q9Y8G3
P38786 P87120
Q06245 O13705
P18414 O94270
P33418 O94258
P28005 Q9UU90
P18409 O13814
P27616 Q9UUB4
P38061 P79015
P38064 Q9Y822
P35194 O60055
P38081 O74799
P38244 O94479
P23254 Q9URM2
P38355 O14197
P25576 Q9P7T7
P48445 O14353
Q04344 O94586
Q07451 O14290
P35182 P40371
Q12488 Q9P7X6
Q03201 O60186
Q03862 O60180
Q04599 Q9P6M9
Q03897 O13686
P14832 P18253
P40986 Q9UUH0
P38992 O94298
P32776 O13745
P32609 O13786
P52286 Q9Y709
P52918 O14116
Q92317 O14348
Q04177 Q9HE11
Q04183 O14251
Q04053 O60107
Q02336 Q9P7J7
Q03406 Q9P7C8
Q04401 Q9P7Y2
P00128 O74533
Q04432 O74914
P39985 O60094
P32629 O74745
O74700 Q9P7K0
P40015 O74369
P40030 O74820
P00899 O94582
P14736 Q10445
P53078 Q09893
P04037 P79010
Q02199 Q09793
P00931 O13831
P25338 O13737
P05030 P09627
P53201 O14308
P40357 O74786
Q06178 Q9UT53
P53212 O43075
P31787 Q9Y7Z3
P33339 O74458
P53044 O42915
P35180 O14225
P46677 Q09813
P15703 O13990
P07347 Q9UTI3
P00427 Q9UTF6
P38782 Q9US45
P38803 O94718
P38811 Q9HFE8
P38827 Q9Y7R4
P40414 Q02088
P07172 P36605
P40479 O13453
P40493 O94480
P40499 O13909
P40513 O94675
P40515 Q9USZ8
P40553 O94561
P39533 Q9P7D4
P08525 P50523
P47025 Q9P7I3
P47048 O94730
P47111 Q9UUH1
P0CS90 P22774-1
P06779 O74999
P32529 O94703
P47140 Q9UT84
P47153 O13752
P32463 Q10217
P34237 O59795
P28707 Q11118
P36010 P49740
P36100 Q9P3W1
P34241 O74415
P33202 Q10435
P36145 P79011
P36154 O14037
Q02046 Q9P786
Q07824 O74829
Q07896 O94288
Q01519 O94581
Q08004 Q9P370
P16658 Q8TFH7
Q12288 Q09686
Q99260 P17608
Q9URQ3 Q9P7N4
Q06685 O74429
P52593 Q9P7M8
P38426 O14081
Q03640 Q9UT00
P25087 O14321
Q04235 Q09832
Q08108 O13857-2
P39105 P0CU03
Q05123 Q9UTQ7
P32352 P87113
P14908 Q9US51
Q05027 Q09869
Q03496 O60081
P53835 Q9P771
P53840 Q9UUM2
P38717 O13818
P36528 O94398
Q01080 O14086
P53883 Q09100
P25608 Q9P7F4
P53915 Q9C0W1
P07213 O14217
P40850 Q9UTN2
P53937 O59772
P53944 O14028
P12687 Q9HDV5
P40345 O94680
P32897 Q9USM7
P37254 O94277
P53738 Q09723
Q12146 Q9UTC3
P25040 P87156
P32480 O74309
P12611 Q9P7D3
P07274 P39825
Q99321 Q09790
P38934 Q9P3W6
P25270 O94631
P39683 Q9UTK3
P06174 P87214
Q08760 Q9P7S8
P33328 Q92356
P47988 O74541
Q08913 P0CU20
Q06490 O94266
Q12060 O94301
Q08961 O74738
Q08959 O14169
Q06892 Q9UT98
Q02884 Q9USP1
Q02889 P79082
Q02825 O74908
Q12432 O13953
Q12074 Q09741
Q06839 Q9Y7N9
Q06090 Q9UUC8
Q06494 O14295
Q06512 O94372
P32486 O13941
P17883 O94474
P32349 Q9C106
P23615 Q09915
Q12452 O74732
Q06679 O60161
P31386 O42645
P53686 Q9USN7
Q99189 Q9USZ2
Q05776 Q9UT07
P15442 Q9HGN1
P47017 P87173
P06100 P87240
P34077 O94418
Q04264 Q9HFF5
Q08204 O13710
Q08746 O59678
P53969 Q10478
Q12125 O74432
P40359 O94329
P34223 Q9UT81
Q12157 Q9UT86
P42842 O36033
P27515 O74427
P25654 O74797
Q04430 O74962
P38719 Q9HGM5
Q12116 Q9HDY3
P38698 O14094
P25358 Q9UTF7
P40469 Q9UTR1
P53254 O94676
Q04371 Q9UT55
Q05016 Q9P7B4
P47077 Q92347
P28627 O74800
Q12339 O74862
P43557 O14042
P13433 O13993
Q02725 O13718
P43613 Q9P7C1
Q04080 Q10351
P32451 O59778
P36104 O60137
P30606 Q10286
P53962 Q9Y7T2
P28321 O94305
Q12275 Q10250
Q12298 Q9UT95
Q12080 Q9UUI4
P39707 O60156
P53164 Q9Y7J0
P49957 Q10224
Q03151 O74776
P53177 Q9UTA5
P22224 O75006
P39704 O13770
P0CX26 O94686
P53250 O94399
P32863 P41410
P24583 P36583
Q07478 O13792
Q12091 O13995
P38203 O94408
P25333 O14019
P26370 O59830
Q03193 Q10227
P40186 O42979
P32656 P87305
P09620 O60123
P48362 Q10498
P38765 Q8NIL3
P00724-1 O59852
Q07895 O94439
P46675 O94534
P32838 Q10298
Q08193 O13692
Q92328 Q92377
P22215 O94695
Q02981 Q9P7M0
Q03103 Q9Y7P1
P38431-1 Q09689
P50102 Q09738
P09201 P09202
P40047 O14293
P10614 Q09736
P17967 Q10057
P15202 P55306
P30619 O94590
P32915 P79088
P21827 P28745
P38930 P40232
P07143 O59680
P20967 O74378
P16862 O42938
P38886 O94444
P11745 P41391
P35691 Q10344
P53152 O74983
P53838 Q9HGM6
P53598 O13750
P38991 O59790
P08466 Q10480
P24784 O13370
P47147 O13819
P17505 Q9Y7R8
P40482 Q9UUI5
P32803 Q9P7I9
P52910 P78773
P39722 O59781
P04397 Q9HDU3
P25621 O43000
P35497 P36624
P19146 P36579
Q07551 O13848
P38248 O74411
P40013 Q10113
P40495 O14104
P15365 O94491
P36012 Q9Y812
P53753 Q09850
P54838 O13902
Q04439 Q9Y7Z8
P32074 P87140
P53845 P87148
P53894 O13310
P06781 Q10133
P53389 O94343
Q06493 O13920
P39010 Q09701
Q08417 O13780
P39708 P78804
P35844 O74178
P32328 Q09898
P32660 Q09891
P30656 P30655
Q06440 O13923
P13586 O59868
P38968 O13637
Q08962 Q1MTQ9
P42841 Q9UTN4
P29468 Q10295
P53039 O94348
P25345 Q9P6I0
P48353 O13633
P53224 O42901
P39929 Q9P7F7
P34220 Q9UUF1
P27614 O13968
P08964 Q9USI6
P32771 O74540
P50094 O14344
P25296 Q9UU93
P0CX42 P0CT61
P0CX24 P0CT69
P0CX83 O42699
P49166 P05733
P33442 O94438
P32836 P28748
O13516 Q09757
P0CX32 O59865
P0C0X0 P0CT80
P38221 Q9P381
P32657 O14139
P02994 P0CT55
P25515 P50515
P05453 O74718
P32905 Q9Y7L8
P53319 P78812
P20604 P36614
P07273 P49373
P0CH09 P0CH07
P39109 Q10185
P38707 O94567
P32561 O59702
P14742 Q09740
Q05902 Q9US04
Q12402 Q9UU91
P47117 P32390
P02557 P05219
P32769 O74774
P0CX44 O74836
P46971 O42933
P31383 Q9UT08
P38620 O94413
P25369 P87308
P25566 Q9Y7K1
P35688 O43052
P32837 Q9C0Z0
P33775 O13898
Q01896 P22189
O13525 O94453
P53101 O94350
P53011 Q10099
P49090 P78753
P38805 O14180
P38887 Q9US39
P32191 O14400
P40510 P87228
P40579 O14351
P27351 O43005
P08536 P78937
P24814 O74783
P03965 O94313
P32332 Q9UTN1
P38755 Q9UUA1
Q06236 Q9P7X0
P23776 Q9URU6
P07342 P36620
P38625 Q9P772
P39013 Q9USZ7
P53941 O13823
P53954 O74878
P18544 O74548
P38925 Q10177
Q12252 Q09766
Q12523 O74763
Q02932 O94545
Q02895 Q9P7U2
P22516 O14147
P41948 Q9C0V1
P06780 Q09914
P09733 P04688
P40857 O14346
P32378 Q10252
Q12442 Q09749
Q04121 O13726
P40165 O13725
P36086 Q7Z9I3
P15108 P41887
P60010 P10989
P00546 P04551
P00924 P40370
P06704 O74435
P17555 P36621
P04173 P18869
P10823 Q04665
P10127 Q09669
P53096 O13298
P48837 O42963
P38788 P87142
P39014 P87053
P40564 O59731
P36009 Q03319
P36091 O74556
P10566 O14281
P38623 O94547
Q03677 O94286
Q12674 Q9UT43
P47771 Q9URW9
P40150 Q10284
P53629 Q10269
Q12280 O14188
P29295 P40235
P07257 P78761
P43563 O74558
P32458 P48008
P04147 P31209
P00729 O13849
P32599 O59945
P38873 P87141
Q12429 Q9USQ7
P22580 Q8TFF9
P39006 Q9UTB5
Q02196 Q9P7G9
P53599 O14299
P47074 O59767
P80428 Q9P7X7
Q00362 Q12702
Q12692 P48003
Q6Q546 O94650
P0CX38 Q9C0Z7
P39940 Q92462
Q12213 P25457
P0CX48 P0CT74
P38615 Q10452
P0CX56 P0CT67
P32383 P40977
P51401 Q10232
P0CX36 Q9P4W9
P19454 P40231
P00958 Q9UUF2
P39726 Q9HDV9
P43601 Q9HDZ7
P53045 Q9UUH4
Q12487 O60118
P20606 Q01475
P0C0V8 P05764
P06367 P0CT57
P28273 Q10094
P25342 Q09116
P35200 O59707
P00854 P21535
P50086 Q10311
P38286 Q10245
P32481 Q09130
P38111 Q02099
P37297 Q9USR3
O14455 O94658
P04807 Q09756
Q07508 Q9USM4
P53549 O74445
Q08649 O94446
P52490 O13685
P32324 O14460
P31384 O74874
P23291 P40234
P07560 P17609
P19211 P56289
Q08968 O13890
P23644 O13656
P06104 P23566
P17898 O13901
P14743 O43010
P38226 O94361
