Q9UQW6	P41338
O13956	Q07381
O74484	P41940
Q9C0X9	Q12408
O13947	Q12093
Q09719	Q12389
P21696	P41911
Q09845	Q00055
O74446	Q03441
Q10055	Q12099
O74802	P28817
O13896	Q04307
P78875	P31688
Q9P804	P15565-1
Q9P7R0	P08566
P78780	P13663
O74534	P22213
O74414	Q03941
O94501	P12612
Q9UT74	P49367
O14337	P36519
Q9UUF7	P41810
Q10242	Q03786
O74402	P33416
O42875	P04803
O13810	P32264
O14235	Q06640
O14206	P38789
P87015	P0CX79
O13610	Q05498
O74781	Q05506
Q09885	Q05515
Q92375	P29509
O60122	P07285
Q09711	Q06389
P87231	Q04149
O13917	P47165
P87014	P32584
O94654	Q03730
Q10170	Q03305
Q9P7N9	Q03337
O74422	Q03390
O60181	Q99258
P40903	P09232
O42895	P32317
O59823	P32610
O13755	P21375
O14072	P39986
Q9Y7M1	P39994
O74750	P40004
Q9UTC9	P40005
P87313	P89886
O94584	P08456
O60163	P10869
P40373	P00498
O94297	P39525
Q10439	P40051
O94634	P00927
O74765	P39965
Q9UT19	P05694
O60100	P40069
Q9UU79	P40078
Q10361	P40086
Q09919	P40088
Q9P7T6	P40093
Q9Y7U9	P21269-1
Q9UT24	P32639
O13775	P46655
O13670	P53070
O94404	P53081
Q10105	P33892
P40383	P22147
O74413	P28777
Q09691	P30775
Q10190	P53145
Q09798	P53010
Q96WW6	P43636
O94396	Q12211
Q9USS0	P53184
P36209	P25340
O14289	P07264
O43050	P53199
P87131	P53206
Q9Y7T3	P53215
Q9P7J5	P28737
O94437	P53219
O74965	P53235
O74960	P53252
O94370	P53257
O43048	P53258
O60164	P53261
Q09764	P53273
P40998	P32318
O74879	P48234
O94524	P36156
O74787	P05374
O14000	P22438
O42872	P46948
O94533	P42935
Q9UUH3	P42938
O94362	P42942
Q10254	P50076
Q9URY5	P39676
Q9Y7Z9	P53318
Q9P7X9	P53320
Q9P7N1	P53323
O74559	P53337
Q9UTB2	P38705
O60155	P38708
O94745	P11914
O43056	P17423
O74766	P07275
Q9P7K9	P38694
Q9HDU6	P38787
Q9P6N8	P38712
Q09704	P38792
Q8TFG7	P38793
O74940	P38795
Q9P7D2	P38796
Q09189	P38797
O13824	P38798
P48009	P32468
Q09810	P38820
O36014	P38821
O13921	P25846
Q9UTL0	P38829
O13835	P32899
Q09817	P38861
Q10070	P38880
Q9P7H4	Q12461
Q09673	P40459
O13660	P40464
O13928	Q00245
Q9US12	P40483
O60087	P08019
O74974	P40498
O94565	P53966
Q9USK7	P40506
Q9P7Z3	P40516
O74557	P38626
Q10184	P40545
Q09913	P25335
O13843	P32459
Q09694	P38998
Q09707	P40892
O74552	P34110
O14307	P46959
O94429	P39677
Q10313	P09880
O14232	P47047
P78810	P47075
Q10212	P47085
O42929	P47089
Q10318	P39522
Q9HE08	P47095
P36590	P00572
Q9UTM4	P40413
Q09843	P40348
Q9P6K9	P47120
O74827	P05375
O74314	P47164
O94671	P31116
P41888	P47173
O60162	P32368
O13969	P07236
Q9UUG0	P07149
O94292	P35996
Q8WZK2	P36051
O94347	P36059
O94285	P35718
Q9UTD0	Q12676
Q9P7V4	P34253
Q10106	P34247
P36580	P14540
Q9UUB8	P32860
Q9USZ6	P33201
Q10142	P36107
O14177	P36108
Q09748	P54861
O60173	P36120
P87155	P36125
O94637	P36132
Q9P6P5	P36149
O74468	P36150
Q9UUG1	P36160
Q9Y7K4	Q12177
Q09795	Q07825
O94641	P31539
O74340	P33750
O74368	P41800
Q9USJ6	Q07923
O14179	Q07953
P36607	P32849
O60097	P38915
O94626	P54964
Q9USZ1	P25039
O94241	Q12509
O74898	P32469
Q9Y7M7	P33311
O13850	Q05779
Q9UTB4	P32335
O94319	Q04491
O14443	Q06543
O59730	Q01662
O60111	Q06567
O94679	Q06156
O60080	Q06218
O13794	Q06224
O13869	P46943
O74482	Q05892
Q9UT76	P32502
O13326	P06106
O74864	P05317
Q10166	P49954
Q09828	P11325
P87145	Q06708
Q9UTH9	Q06053
O74553	Q06063
O14053	Q06078
Q9UTI0	P20051
O13883	P41733
P87230	P49017
O74397	Q04489
Q9HDX8	P54783
O94283	Q04651
P87027	P38987
Q10354	Q03697
O74834	P12887
O00102	Q02159
Q9UTE7	P32559
Q9UST2	P46972
O74399	Q04660
O94346	Q04728
O74375	Q04767
O94522	P32832
O14301	P46680
O94365	Q04305
Q9UTE4	Q03144
O14027	Q03148
O94385	P39685
Q9P783	Q04225
O74956	Q03799
Q76PC3	Q03829
O14103	Q03691
Q9UT88	P24521
P87317	Q05029
O13918	P20107
P41890	P38430
O74478	Q03262
Q10181	P23796
Q09916	Q03532
O94509	Q03557
O94689	P32843
Q9HFE1	P40988
Q7Z9H9	P42837
P54069	P42840
O14003	P38629
O42868	P53538
Q9P7Q9	P53868
Q1MTR3	P40157
Q9P7W5	P40160
P30597	P08004
Q9UTK2	P53875
Q9P7L4	P53889
O74499	P53905
P87115	P53914
O13912	P53925
P24782	P24783
P28040	P13382
Q9Y7J3	P53934
O59816	P12695
Q9Y7X8	P53946
O94544	Q10740
O14039	P53972
Q9P6N2	P53981
O74184	P41318
Q10442	P38921
O74310	P53729
O14182	P53732
O14236	P53742
O13903	Q08285
O43073	Q12016
Q9UTH1	Q12383
O94636	Q12463
Q10068	Q12496
O94449	P40339
O14214	Q12400
O94505	P32179
O94354	P22768
Q9HDX9	P48525
P37202	Q08162
O43053	Q12001
P40848	Q02792
Q10479	P40351
Q8TFH3	P48439
Q9UTL3	Q12189
P08647	P01120
O42650	Q12196
O74826	P41735
P15567	P21264
O14044	Q99216
O14349	Q99312
Q9UTE0	Q99287
O42916	Q08548
Q10349	P33330
P40374	P06633
Q9P7G0	P39744
Q10233	P22276
P87320	P32266
Q9P3T7	Q99297
Q9UTC6	Q03020
O43047	P38523
O74742	Q08645
O74343	Q08647
O74859	Q08702
Q9UTL7	Q08726
Q9UT75	P07884-1
Q9Y7L1	Q12017
O60060	P07258
Q9P7S7	Q12499
P87170	Q12382
P15398	P10964
Q9URZ3	P15380
Q9P6J7	Q08902
Q9P7U4	Q08910
Q9USU2	P41819
O74543	P53388
Q9P6K3	Q08977
Q10289	P19097
O60061	P40350
O14134	Q08972
O94653	Q08965
P40386	P41835
O59761	Q08960
Q10490	P26637
P87303	Q02939
O94242	P15179
O74890	P48527
O94659	Q02892
P0CT97	P41930
O14023	Q02908
O36022	P39107
Q9USL3	P48526
O74927	P46151
Q10306	P00890
Q9P7X8	P22138
O94476	Q12522
O94613	Q12181
O13739	P32178
P87215	Q06819
Q9UTB8	Q06835
O13620	Q06106
O60185	Q06489
O74457	Q06504
Q10270	P18408
O94335	P39007
O74462	P53040
Q9UT57	P40558
Q9P782	Q12449
Q10137	P24280
Q9P7J8	P18961
Q9P774	P15938
O74323	P15367
Q9Y7P4	P32611
O59821	P53859
O74891	P53600
O43038	Q06696
O74847	P53157
O13286	P53197
O59727	Q08971
O74421	P27680
O13935	P38205
Q9P6L7	P38127
O94360	P40484
Q9P6I2	P43616
Q9URY0	Q12024
O74739	Q02890
Q9HGL6	Q08235
Q9P787	P36039
O13797	Q12118
O13984	P40151
O42646	P33296
Q9US07	Q12386
Q9UTB3	P31115
Q92338	P27697
O74945	P53893
P87144	P04801
O14105	P46969
Q9P7G4	P36163
O74764	P25808
Q10438	P38254
Q1K9C2	P47169
O13974	P43558
O14059	P38635
Q09878	P39692
Q9UTC5	P43591
O94282	P53088
Q9HDU2	P13045
Q9URY8	Q12325
O94673	P48236
Q09697	P43556
Q9P777	P00815
O13793	Q12029
P31318	Q01217
O60157	Q08282
Q9Y7K7	P38962
O13820	P54781
P36603	P09938
P55877	P38912
O60159	P37020
O59804	P38910
Q9UUK2	Q03330
Q9P7T9	P43549
O74887	P34760
O74752	P25491
O14254	P21954
Q9URX7	P38074
Q9UUH2	P38278
Q09826	P38314
O74976	P38137
O60101	P00560
P87126	Q12046
Q1MTS0	Q12136
Q09717	P41920
Q09925	P40970
Q10237	P39081
P78817	P50108
O13983	Q05549
P49776	P49775
O43033	Q06668
Q9UTK8	P40107
P36599	P22434
Q9US35	P53095
Q10097	P53322
O13805	P38702
O94537	P32361
O42911	P40496
Q10309	P40527
Q9P6N5	P23501
O74758	P47148
O94609	P22515
O60074	P69771
O94539	P36147
O14123	Q99271
Q9UTL9	Q06554
P78827	P06168
O59827	P23202
O13822	P53878
Q09177	P28000
Q09175	P13134
O59791	P36007
O59672	P43535
O14205	Q06385
Q09196	P53141
O74431	Q12697
O42900	P22219
Q4LB35	P53848
O13867	P18562
O14031	P40897
O13640	P46985
Q9US06	P38351
O42841	P40533
Q9UR39	P53688
Q10283	P12683
P78820	Q00955
O13754	P33313
Q11004	P53691
Q9P6P6	P31334
O74904	P0CX85
Q9USY7	P38297
P40996	P29366
Q9P7F8	Q12154
O74352	P39743
Q9C1W8	Q04119
O13834	Q03280
O60109	P11491
O94520	P53073
Q09758	P53154
Q10202	P20447
O74382	P42941
O14357	P53306
O94443	P53331
Q9Y7I8	P32527
O13989	P32857
O94469	P33413
O13861	P36101
Q9URW6	P32793
O43076	P40486
O14267	P42946
O94345	P22353
Q9Y817	P47104
Q9Y7Z5	Q12164
Q09892	P32485
Q9UT28	Q05874
Q10138	Q06705
Q9UUE7	Q06697
O74801	P51998
P36618	P26448
Q9UUJ6	P32567
Q9P376	Q03254
O59721	P48567
Q10366	P39104
Q9UU99	P53860
Q9UUN5	P53633
O94255	P53615
P56523	P53973
O60104	Q08278
P87109	Q12204
Q9UTK0	Q08444
O42903	Q12234
Q9USJ1	Q08686
O43036	P46669
Q9UTP4	Q08954
O94436	P35189
O13787	P21825
O43065	P32333
Q9HDW8	Q02784
O74516	Q02648
P0CT72	P0CX46
O59771	P15700
Q9UT42	P42951
O14171	P35196
Q10225	P40560
Q7Z991	P43569
Q9UT41	P43571
Q9Y7U6	P51862
Q9USK3	Q05497
Q09833	P33753
O13682	Q05471
P41412	P39678
Q09743	P40061
O60065	P53112
Q9UT16	P22135
O94291	Q08826
P11620	P01123
P87239	P35191
Q9USX1	P32454
O94511	Q99190
O94530	P32579
O43012	P06773
O14141	Q99210
O14189	Q12511
O59831	P43548
Q9P6I7	P53909
Q9US09	P47040
O74430	P34163
P0CT78	Q3E757
Q09668	P05749
Q10231	P38604
O74893	P38701
Q9UT56	P39939
Q09188	P18239
Q9UT35	P32621
P78972	P26309
O94281	P43639
O94395	P32807
Q10305	P39958
Q9P6R6	Q12165
Q09179	P32288
Q10208	P00549
P50524	P32496
O74803	P32628
Q92373	P26754
O74895	P54780
O74892	P25443
P0C8R3	P05759
Q9USZ3	Q12330
Q9P544	P04840
Q9C0X6	Q03940
Q9US48	P39012
P23636	P23594
P17610	P38555
O00091	P11412
Q9USH7	P39926
Q09803	P52917
Q9P380	P32901
O13836	P53063
O60198	P19358
Q9Y8G3	Q99257
P87120	P38786
O13705	Q06245
O94270	P18414
O94258	P33418
Q9UU90	P28005
O13814	P18409
Q9UUB4	P27616
P79015	P38061
Q9Y822	P38064
O60055	P35194
O74799	P38081
O94479	P38244
Q9URM2	P23254
O14197	P38355
Q9P7T7	P25576
O14353	P48445
O94586	Q04344
O14290	Q07451
P40371	P35182
Q9P7X6	Q12488
O60186	Q03201
O60180	Q03862
Q9P6M9	Q04599
O13686	Q03897
P18253	P14832
Q9UUH0	P40986
O94298	P38992
O13745	P32776
O13786	P32609
Q9Y709	P52286
O14116	P52918
O14348	Q92317
Q9HE11	Q04177
O14251	Q04183
O60107	Q04053
Q9P7J7	Q02336
Q9P7C8	Q03406
Q9P7Y2	Q04401
O74533	P00128
O74914	Q04432
O60094	P39985
O74745	P32629
Q9P7K0	O74700
O74369	P40015
O74820	P40030
O94582	P00899
Q10445	P14736
Q09893	P53078
P79010	P04037
Q09793	Q02199
O13831	P00931
O13737	P25338
P09627	P05030
O14308	P53201
O74786	P40357
Q9UT53	Q06178
O43075	P53212
Q9Y7Z3	P31787
O74458	P33339
O42915	P53044
O14225	P35180
Q09813	P46677
O13990	P15703
Q9UTI3	P07347
Q9UTF6	P00427
Q9US45	P38782
O94718	P38803
Q9HFE8	P38811
Q9Y7R4	P38827
Q02088	P40414
P36605	P07172
O13453	P40479
O94480	P40493
O13909	P40499
O94675	P40513
Q9USZ8	P40515
O94561	P40553
Q9P7D4	P39533
P50523	P08525
Q9P7I3	P47025
O94730	P47048
Q9UUH1	P47111
P22774-1	P0CS90
O74999	P06779
O94703	P32529
Q9UT84	P47140
O13752	P47153
Q10217	P32463
O59795	P34237
Q11118	P28707
P49740	P36010
Q9P3W1	P36100
O74415	P34241
Q10435	P33202
P79011	P36145
O14037	P36154
Q9P786	Q02046
O74829	Q07824
O94288	Q07896
O94581	Q01519
Q9P370	Q08004
Q8TFH7	P16658
Q09686	Q12288
P17608	Q99260
Q9P7N4	Q9URQ3
O74429	Q06685
Q9P7M8	P52593
O14081	P38426
Q9UT00	Q03640
O14321	P25087
Q09832	Q04235
O13857-2	Q08108
P0CU03	P39105
Q9UTQ7	Q05123
P87113	P32352
Q9US51	P14908
Q09869	Q05027
O60081	Q03496
Q9P771	P53835
Q9UUM2	P53840
O13818	P38717
O94398	P36528
O14086	Q01080
Q09100	P53883
Q9P7F4	P25608
Q9C0W1	P53915
O14217	P07213
Q9UTN2	P40850
O59772	P53937
O14028	P53944
Q9HDV5	P12687
O94680	P40345
Q9USM7	P32897
O94277	P37254
Q09723	P53738
Q9UTC3	Q12146
P87156	P25040
O74309	P32480
Q9P7D3	P12611
P39825	P07274
Q09790	Q99321
Q9P3W6	P38934
O94631	P25270
Q9UTK3	P39683
P87214	P06174
Q9P7S8	Q08760
Q92356	P33328
O74541	P47988
P0CU20	Q08913
O94266	Q06490
O94301	Q12060
O74738	Q08961
O14169	Q08959
Q9UT98	Q06892
Q9USP1	Q02884
P79082	Q02889
O74908	Q02825
O13953	Q12432
Q09741	Q12074
Q9Y7N9	Q06839
Q9UUC8	Q06090
O14295	Q06494
O94372	Q06512
O13941	P32486
O94474	P17883
Q9C106	P32349
Q09915	P23615
O74732	Q12452
O60161	Q06679
O42645	P31386
Q9USN7	P53686
Q9USZ2	Q99189
Q9UT07	Q05776
Q9HGN1	P15442
P87173	P47017
P87240	P06100
O94418	P34077
Q9HFF5	Q04264
O13710	Q08204
O59678	Q08746
Q10478	P53969
O74432	Q12125
O94329	P40359
Q9UT81	P34223
Q9UT86	Q12157
O36033	P42842
O74427	P27515
O74797	P25654
O74962	Q04430
Q9HGM5	P38719
Q9HDY3	Q12116
O14094	P38698
Q9UTF7	P25358
Q9UTR1	P40469
O94676	P53254
Q9UT55	Q04371
Q9P7B4	Q05016
Q92347	P47077
O74800	P28627
O74862	Q12339
O14042	P43557
O13993	P13433
O13718	Q02725
Q9P7C1	P43613
Q10351	Q04080
O59778	P32451
O60137	P36104
Q10286	P30606
Q9Y7T2	P53962
O94305	P28321
Q10250	Q12275
Q9UT95	Q12298
Q9UUI4	Q12080
O60156	P39707
Q9Y7J0	P53164
Q10224	P49957
O74776	Q03151
Q9UTA5	P53177
O75006	P22224
O13770	P39704
O94686	P0CX26
O94399	P53250
P41410	P32863
P36583	P24583
O13792	Q07478
O13995	Q12091
O94408	P38203
O14019	P25333
O59830	P26370
Q10227	Q03193
O42979	P40186
P87305	P32656
O60123	P09620
Q10498	P48362
Q8NIL3	P38765
O59852	P00724-1
O94439	Q07895
O94534	P46675
Q10298	P32838
O13692	Q08193
Q92377	Q92328
O94695	P22215
Q9P7M0	Q02981
Q9Y7P1	Q03103
Q09689	P38431-1
Q09738	P50102
P09202	P09201
O14293	P40047
Q09736	P10614
Q10057	P17967
P55306	P15202
O94590	P30619
P79088	P32915
P28745	P21827
P40232	P38930
O59680	P07143
O74378	P20967
O42938	P16862
O94444	P38886
P41391	P11745
Q10344	P35691
O74983	P53152
Q9HGM6	P53838
O13750	P53598
O59790	P38991
Q10480	P08466
O13370	P24784
O13819	P47147
Q9Y7R8	P17505
Q9UUI5	P40482
Q9P7I9	P32803
P78773	P52910
O59781	P39722
Q9HDU3	P04397
O43000	P25621
P36624	P35497
P36579	P19146
O13848	Q07551
O74411	P38248
Q10113	P40013
O14104	P40495
O94491	P15365
Q9Y812	P36012
Q09850	P53753
O13902	P54838
Q9Y7Z8	Q04439
P87140	P32074
P87148	P53845
O13310	P53894
Q10133	P06781
O94343	P53389
O13920	Q06493
Q09701	P39010
O13780	Q08417
P78804	P39708
O74178	P35844
Q09898	P32328
Q09891	P32660
P30655	P30656
O13923	Q06440
O59868	P13586
O13637	P38968
Q1MTQ9	Q08962
Q9UTN4	P42841
Q10295	P29468
O94348	P53039
Q9P6I0	P25345
O13633	P48353
O42901	P53224
Q9P7F7	P39929
Q9UUF1	P34220
O13968	P27614
Q9USI6	P08964
O74540	P32771
O14344	P50094
Q9UU93	P25296
P0CT61	P0CX42
P0CT69	P0CX24
O42699	P0CX83
P05733	P49166
O94438	P33442
P28748	P32836
Q09757	O13516
O59865	P0CX32
P0CT80	P0C0X0
Q9P381	P38221
O14139	P32657
P0CT55	P02994
P50515	P25515
O74718	P05453
Q9Y7L8	P32905
P78812	P53319
P36614	P20604
P49373	P07273
P0CH07	P0CH09
Q10185	P39109
O94567	P38707
O59702	P32561
Q09740	P14742
Q9US04	Q05902
Q9UU91	Q12402
P32390	P47117
P05219	P02557
O74774	P32769
O74836	P0CX44
O42933	P46971
Q9UT08	P31383
O94413	P38620
P87308	P25369
Q9Y7K1	P25566
O43052	P35688
Q9C0Z0	P32837
O13898	P33775
P22189	Q01896
O94453	O13525
O94350	P53101
Q10099	P53011
P78753	P49090
O14180	P38805
Q9US39	P38887
O14400	P32191
P87228	P40510
O14351	P40579
O43005	P27351
P78937	P08536
O74783	P24814
O94313	P03965
Q9UTN1	P32332
Q9UUA1	P38755
Q9P7X0	Q06236
Q9URU6	P23776
P36620	P07342
Q9P772	P38625
Q9USZ7	P39013
O13823	P53941
O74878	P53954
O74548	P18544
Q10177	P38925
Q09766	Q12252
O74763	Q12523
O94545	Q02932
Q9P7U2	Q02895
O14147	P22516
Q9C0V1	P41948
Q09914	P06780
P04688	P09733
O14346	P40857
Q10252	P32378
Q09749	Q12442
O13726	Q04121
O13725	P40165
Q7Z9I3	P36086
P41887	P15108
P10989	P60010
P04551	P00546
P40370	P00924
O74435	P06704
P36621	P17555
P18869	P04173
Q04665	P10823
Q09669	P10127
O13298	P53096
O42963	P48837
P87142	P38788
P87053	P39014
O59731	P40564
Q03319	P36009
O74556	P36091
O14281	P10566
O94547	P38623
O94286	Q03677
Q9UT43	Q12674
Q9URW9	P47771
Q10284	P40150
Q10269	P53629
O14188	Q12280
P40235	P29295
P78761	P07257
O74558	P43563
P48008	P32458
P31209	P04147
O13849	P00729
O59945	P32599
P87141	P38873
Q9USQ7	Q12429
Q8TFF9	P22580
Q9UTB5	P39006
Q9P7G9	Q02196
O14299	P53599
O59767	P47074
Q9P7X7	P80428
Q12702	Q00362
P48003	Q12692
O94650	Q6Q546
Q9C0Z7	P0CX38
Q92462	P39940
P25457	Q12213
P0CT74	P0CX48
Q10452	P38615
P0CT67	P0CX56
P40977	P32383
Q10232	P51401
Q9P4W9	P0CX36
P40231	P19454
Q9UUF2	P00958
Q9HDV9	P39726
Q9HDZ7	P43601
Q9UUH4	P53045
O60118	Q12487
Q01475	P20606
P05764	P0C0V8
P0CT57	P06367
Q10094	P28273
Q09116	P25342
O59707	P35200
P21535	P00854
Q10311	P50086
Q10245	P38286
Q09130	P32481
Q02099	P38111
Q9USR3	P37297
O94658	O14455
Q09756	P04807
Q9USM4	Q07508
O74445	P53549
O94446	Q08649
O13685	P52490
O14460	P32324
O74874	P31384
P40234	P23291
P17609	P07560
P56289	P19211
O13890	Q08968
O13656	P23644
P23566	P06104
O13901	P17898
O43010	P14743
O94361	P38226
